,name,city,country,region,members,fullurl,created,past_events,upcoming_events,visibility,last_event
499,"Bots,AR,PWeb-Mobile,ServerlessCC & BChain  Codeseeker's",Bangalore,India,Asia,796,https://www.meetup.com/Bots-AR-PWeb-Mobile-ServerlessCC-BChain-Codeseekers/,15-12-2016,35,0,public,02-01-2021
502,American Statistical Association - Philadelphia (ASA-P),Philadelphia,USA,US/Canada,85,https://www.meetup.com/amstatphilly/,11-08-2018,1,0,public,05-12-2019
503,Bay Area entrepreneurs in statistics,Oakland,USA,US/Canada,1274,https://www.meetup.com/Bay-Area-entrepreneur-in-statistics/,21-07-2014,27,0,public,04-04-2020
504,MLGeek Brussels,Brussels,Belgium,Europe,699,https://www.meetup.com/MLGeek-Brussels/,14-03-2013,24,0,public,09-05-2017
505,Chicago Chapter American Statistical Association,Chicago,USA,US/Canada,574,https://www.meetup.com/Chicago-Chapter-American-Statistical-Association/,17-09-2012,47,0,public,20-11-2020
506,"NYC Data Science, ML, AI Platform",New York,USA,US/Canada,690,https://www.meetup.com/NYC-Data-Science-ML-AI-Platform/,22-03-2020,84,2,public,24-05-2021
507,ODSC Hyderabad Data Science,Hyderabad,India,Asia,1219,https://www.meetup.com/ODSC-Hyderabad-Data-Science/,19-08-2019,41,2,public,10-06-2021
508,Data Science Alliance,Melbourne,Australia,Australia,189,https://www.meetup.com/data-science-alliance/,16-12-2020,4,0,public,04-05-2021
509,Data Science Raleigh,Raleigh,USA,US/Canada,611,https://www.meetup.com/Data-Science-NC/,01-07-2019,10,3,public,22-04-2021
510,ODSC Pune Data Science,Pune,India,Asia,484,https://www.meetup.com/ODSC-Pune-Data-Science/,14-02-2020,35,2,public,10-06-2021
511,Orlando Machine Learning and Data Science,Orlando,USA,US/Canada,1488,https://www.meetup.com/Orlando-MLDS/,09-11-2016,44,0,public,29-05-2021
512,"Chicago Data Science, ML, AI Platform",Chicago,USA,US/Canada,459,https://www.meetup.com/Chicago-Data-Science-ML-AI-Platform/,22-03-2020,84,2,public,24-05-2021
